word;meaning
a;introduces direct object & nominal complement
abuso;abuse, violate, rape, assault, abusive
ade-kolun;spar (ship), mast
ade-man;helper, assistant, auxiliary (person)
ade;aid, care, concern, help, care for
adere-imaje;sticker, decal
adere;adhere, stick, cling, sticky, glue
adio;bye, farewell (prefer 'salu')
Aegiptos;Egypt (see 'Mosr')
aeji;shield, armor
aero-kula;air-con, air con, air conditioner machine
aero-loka;airlock
aero-mini-peso;particulate (atmospheric)
aero-pota;airport
aero-veni;rust
aero;air, atmosphere, gas
Aetiopia;Ethiopia
afa-semi-dia;afternoon
afa;after
Afganistan;Afghanistan
afoga;drown, submerge, a drowning
Afrika;Africa
agila;eagle, hawk, a bird of prey
Aisopo;Aesop (greek fabulist)
aje;age, to age, eon, aged
ajenda;program, agenda, plan, computer program
ake-filoso;fascism
ake;ax, axe, hatchet, machete, to chop
akonto-man;accountant
akonto-siensa;accounting
akonto;account, ledger, report, to recount
akuse;accuse, accusation, charge (legal)
akuta;sharp, acute, keen
Alarbia;Arabic (language)
ale-en-i-savi;omniscient
ale-litera;alphabet
ale-sesi;pansexual
ale;all, everything
alien;foreign, alien
alio;garlic
Aljeri;Algeria, People's Democratic Republic of Algeria
Amerika;America
amidala;almond, tonsil, amygdala
amigo;friend, acquaintance, befriend, friendly
amo-enkonte;to have a date, to go out on a date
amo-man;darling
amo-senti;pat, caress, pet, stroke (lovingly)
amo;love, dear
amuse;amuse, entertain, fun, entertainment
an-ma;etcetera
an-sino;ampersand, and sign, &
an;and, also, add
Anak;Anak (place, hebrew bible, person) (not to be confused with 'Enak')
Andalusia;Andalucía
Angola;Angola
Angugo;Korean (language) (see 'Josunmau')
ani-loke;anywhere
ani;any (determiner), whichever, anyone
anima;soul, spirit
animale-fobo;zoophobia
animale-medika-kasa;veterinary (place), animal hospital
animale-medika-man;veterinarian
animale-medika;veterinary medicine
animale-sela;pen (for animals), corral, enclosure (for animals)
animale;animal
anjo;angel, angelic
ankora;yet, even, still
ano;year, annual
ansio-fiba;nerve
ansio;anxious, anxiety, nervous
Antartika;Antarctica
ante-nese;prerequisite
ante-nun-aje;premodern, pre-modern
ante;before
anti-ora-uti-direto;counterclockwise, anticlockwise
anti-sinifi;antonymous, antonym
anti-tempo-tolera;impatience
anti;against, anti-, opposite, opposing, oppose
antika-gadi;celery
antika;old, to age, antique, ancient
anunsi;announce, announcement, declare, declaration
apara;seem, appear, apparent, obvious, appearance
apojo-kan;sustainable
apojo;support, backing, advocacy, backup, bolster
ara-fobo;spheksophobia, apiphobia, melissophobia
ara;bee, hornet, wasp
Aragon;Aragón
arana-fobo;arachnophobia
arana;spider, arachnid
arapan-kipa;await
arapan;hope, wait for, expectation, wish
area;area, region, zone, domain, extent, size
Argentina;Argentina
Armenia;Armenia
aro;arrow, dart
aroma;smell, taste
aseta;accept, consent, agree, agreement, accord, pact
Asia;Asia
asido;acid, sour, acidic, vinegar
asilu;asylum, refuge, shelter
Asturias;Asturias
atira;attract, attraction, temptation
Atlas-luna-pisi;Selene setapinnis, Atlantic moonfish
Atlas-mare;Atlantic Ocean
ato-begin;trigger, activate, start up, set off, initiate, turn on
ato-fini;deactivate, turn off
ato-name;verb
ato;act, performance, behavior, behaviour, active
atomo-1;hydrogen
atomo-2;helium
atomo-3;lithium
atomo-4;beryllium
atomo-5;boron
atomo-6;carbon (see 'kabon')
atomo-7;nitrogen
atomo-8;oxygen
atomo-9;fluorine
atomo-10;neon
atomo-11;sodium
atomo-12;magnesium
atomo-13;aluminum, aluminium
atomo-14;silicon
atomo-15;phosphorus
atomo-16;sulfur
atomo-17;chlorine
atomo-18;argon
atomo-19;potassium
atomo-20;calcium
atomo-21;scandium
atomo-22;titanium
atomo-23;vanadium
atomo-24;chromium
atomo-25;manganese
atomo-26;iron (see 'fero')
atomo-27;cobalt
atomo-28;nickel
atomo-29;copper (see 'kopere')
atomo-30;zinc
atomo-31;gallium
atomo-32;germanium
atomo-33;arsenic
atomo-34;selenium
atomo-35;bromine
atomo-36;krypton
atomo-37;rubidium
atomo-38;strontium
atomo-39;yttrium
atomo-40;zirconium
atomo-41;niobium
atomo-42;molybdenum
atomo-43;technetium
atomo-44;ruthenium
atomo-45;rhodium
atomo-46;palladium
atomo-47;silver (see 'silara')
atomo-48;cadmium
atomo-49;indium
atomo-50;tin (see 'tin')
atomo-51;antimony
atomo-52;tellurium
atomo-53;iodine
atomo-54;xenon
atomo-55;cesium
atomo-56;barium
atomo-57;lanthanum
atomo-58;cerium
atomo-59;praseodymium
atomo-60;neodymium
atomo-61;promethium
atomo-62;samarium
atomo-63;europium
atomo-64;gadolinium
atomo-65;terbium
atomo-66;dysprosium
atomo-67;holmium
atomo-68;erbium
atomo-69;thulium
atomo-70;ytterbium
atomo-71;lutetium
atomo-72;hafnium
atomo-73;tantalum
atomo-74;tungsten
atomo-75;rhenium
atomo-76;osmium
atomo-77;iridium
atomo-78;platinum
atomo-79;gold (see 'jin')
atomo-80;mercury (see 'liki-metali')
atomo-81;thallium
atomo-82;lead
atomo-83;bismuth
atomo-84;polonium
atomo-85;astatine
atomo-86;radon
atomo-87;francium
atomo-88;radium
atomo-89;actinium
atomo-90;thorium
atomo-91;protactinium
atomo-92;uranium
atomo-93;neptunium
atomo-94;plutonium
atomo-95;americium
atomo-96;curium
atomo-97;berkelium
atomo-98;californium
atomo-99;einsteinium
atomo-100;fermium
atomo-101;mendelevium
atomo-102;nobelium
atomo-103;lawrencium
atomo-104;rutherfordium
atomo-105;dubnium
atomo-106;seaborgium
atomo-107;bohrium
atomo-108;hassium
atomo-109;meitnerium
atomo-110;darmstadtium
atomo-111;roentgenium
atomo-112;copernicium
atomo-113;nihonium
atomo-114;flerovium
atomo-115;moscovium
atomo-116;livermorium
atomo-117;tennessine
atomo-118;oganesson
atomo-radi;radioactive
atomo;atom, atomic
Ausa;Hausa (people, language)
Australia;Australia
ave;have, possession, marks perfect tense
ave-a;transitive (grammar) (not to be confused with 'via-relate')
avion;airplane
aviso;attention, warn, caution, warning, alert, notification
Azeri;Azerbaijan
ba;eight, 8
bagaje;luggage, baggage, gear, personal effects, to lug
bai;bay, golf, cove
bajo-fura;anus
bajo;low, short (height)
baka-dona;return (something), give back
baka-go;return (movement), go back
baka-pale-tori;mockingbird
baka-pale;mock
baka-rampa-sino;backslash, escape sign, reverse slash, backslant, reverse slant, \
baka;back (body + adv), rear side, backward, behind
balansa;balance, equilibrium, a scale, balanced, fair
balena;whale, dolphin, porpoise, cetacean
balo;ball, a spherical object, roll
balon;balloon
balu;bear (animal)
banana;banana
banda;band, strip, ribbon, tape, stripe
bandera;flag, banner
Bangla;Bengali, Bangla
Banglades;Bangladesh
banka;bank, bench, river bank, financial institution
bano;bath, bathe
baraje;barrage, dam, block, impede, obstruct, hinder
Barbari;Berber (languages, people), Tamazight, Amazigh (languages, people), Imazighen
bari;weight, weigh, heavy
Barselona;Barcelona
basara;market, bazaar, fair, to shop
base;base, foundation, ground, floor, basis, fundamental
basilo-fobo;mysophobia, verminophobia, germophobia, germaphobia, bacillophobia, bacteriophobia
basilo;bacteria, bacillus, germ, microbe
Bask-lan;Basque Country, Euskadi, País Vasco, Basque Autonomous Community
